Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
22,JEFF BROOKS,AXM,32,2,12:35,2.1,0.4,1,42.4%,0.3,0.8,38.5%,0.3,0.4,69.2%,0.8,1.4,2.2,0.7,0.2,0.2,0.4,0.1,1.1,0.3,3.2
23,LEO WESTERMANN,,24,4,11:37,3.5,0.5,1.1,44.4%,0.7,1.9,37%,0.4,0.5,81.8%,0.1,1.4,1.5,2,0.4,1.2,0,0.1,1.8,0.9,3.3
24,CARLOS ALOCEN,RMB,28,16,13:24,3.9,1.2,2.4,51.5%,0.4,1.4,28.2%,0.2,0.4,58.3%,0.1,1.2,1.4,2.2,0.2,1.5,0.1,0.1,1.6,1.1,3.3
25,LEON RADOSEVIC,BAY,37,30,13:48,3.4,1.2,2.6,45.8%,0.2,0.6,31.8%,0.4,0.7,60%,0.6,1.5,2.1,0.6,0.4,0.7,0.1,0.1,1.4,1,3.3
26,GIANNOULIS LARENTZAKIS,OLY,21,2,12:25,4.5,0.4,1,42.9%,0.9,2.8,32.8%,0.9,1.2,76%,0.2,1.4,1.6,1.4,0.8,1,0,0,2.2,1.2,3.5
27,MICHAEL ROLL,AXM,36,10,14:19,4.2,0.8,1.6,46.6%,0.8,1.9,43.5%,0.2,0.2,88.9%,0.1,1.1,1.2,1.2,0.4,0.4,0.1,0.1,1.7,0.6,3.6
28,RICCARDO MORASCHINI,AXM,24,6,11:00,3.1,0.5,1.2,41.4%,0.5,0.9,52.4%,0.8,1.2,64.3%,0.1,1.5,1.6,1.1,0.4,0.6,0,0.1,1.2,0.9,3.7
29,ELEFTHERIOS BOCHORIDIS,PAO,31,4,15:52,4.4,0.9,2.3,37.5%,0.5,1.8,29.8%,1,1.3,77.5%,0.5,1.3,1.8,2.2,0.7,1.4,0.2,0.1,2.9,2.1,4
30,DUOP REATH,CZV,23,8,13:19,4.8,1.3,2,65.2%,0.6,1.7,35%,0.4,0.5,81.8%,0.7,1.1,1.9,0.2,0.2,0.3,0.3,0.1,1.5,0.6,4
31,LANGSTON HALL,CZV,21,14,16:13,5.2,1.5,3.7,41.6%,0.6,1.4,41.4%,0.4,0.4,100%,0.5,1,1.6,2.8,0.8,1.8,0.1,0.3,2.1,0.8,4.1
32,JAMES GIST,BAY,23,12,21:34,5.6,2,4.2,47.9%,0.1,0.5,16.7%,1.3,2,63.8%,1.1,1.9,3,0.7,0.7,1,0.3,0.2,3.1,1.6,4.2
