Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
158,NICK WEILER-BABB,BAY,34,34,26:20,8.2,1.1,2,56.7%,1.8,4.1,43.5%,0.7,1,72.7%,1.3,2.9,4.1,4.9,1.5,1.6,0.1,0.1,2.5,1.6,12.9
159,NANDO DE COLO,ASV,32,0,20:35,11.5,1.8,3.3,52.8%,1.7,4.5,38.5%,2.8,3,94.8%,0.3,1.4,1.7,4.5,0.8,2.3,0,0.4,1.6,3.4,13.1
160,SHAVON SHIELDS,EA7,28,28,27:33,12,2.7,5,53.2%,1.5,3.6,42.2%,2,2.8,72.7%,0.6,3,3.6,2.6,0.7,1.5,0,0.2,1.5,2.8,13.3
161,ELIE OKOBO,ASM,35,9,25:09,12.5,3,6,49.8%,1.2,3.1,38.9%,2.9,3.3,87.8%,0.1,1.7,1.9,4.1,1.1,1.8,0.2,0.2,2.1,3.1,13.4
162,VINCENT POIRIER,EFS,39,35,21:21,9.5,3.8,5.7,65.9%,0,0.1,0%,1.9,2.8,70.4%,2,3,5,1.2,0.6,0.9,1.3,0.3,2.2,2.2,13.4
163,ISAIA CORDINIER,VIR,34,31,26:54,12,3.4,6.1,56.8%,0.8,3,27.7%,2.7,3.4,79.8%,1,2.9,3.9,3.9,0.7,2,0.3,0.2,2.8,3.3,13.6
164,MARIO HEZONJA,RMB,38,17,27:03,14.9,3.7,5.9,61.5%,1.9,6.1,31.5%,1.8,2.2,81.9%,0.5,4.8,5.3,1.5,0.8,1.6,0.1,0.3,1.7,2.1,14.3
165,DONTA HALL,BKN,34,20,21:30,8.7,3.4,4.7,71.4%,0,0,0%,2,2.9,69.1%,1.9,3.5,5.4,0.9,0.5,0.7,1.1,0.1,1.7,2.6,14.4
166,NIKOLA MILUTINOV,OLY,29,4,19:51,8.2,2.9,5,58.2%,0,0,0%,2.3,2.8,83.7%,2.7,3.1,5.8,0.8,0.6,0.6,0.7,0.2,0.7,2.5,14.4
167,ELIJAH BRYANT,EFS,38,31,27:01,13.8,3.4,6.9,49%,1.5,4.1,36.5%,2.6,2.9,90%,0.6,3.6,4.2,3.1,1.2,2.2,0.2,0.5,2.7,3.7,14.4
168,FILIP PETRUSEV,,32,12,20:08,13,4.2,6.7,62.4%,0.5,1.8,26.8%,3.2,4.8,67.5%,1.7,2.9,4.6,1.6,0.7,1.2,0.5,0.3,2.5,3.8,14.7
169,WALTER TAVARES,RMB,40,37,23:15,10.2,4.2,5.7,73.8%,0,0,0%,1.8,2.4,72.2%,2.4,4.1,6.6,1.2,0.7,2,1.2,0.2,3,2.8,15.3
169,JUANCHO HERNANGOMEZ,PAO,40,27,27:19,10,2.2,3.8,56.9%,1.5,3.6,43%,1,1.6,63.1%,1.6,5.4,7,1.4,0.9,0.6,0.3,0.3,1.2,2,15.3
171,WILL CLYBURN,VIR,24,24,27:25,13.8,3.2,6.1,51.7%,1.8,5.2,34.1%,2,2.5,81.7%,1,3.7,4.7,2.4,1.1,1.4,0.2,0.2,1.5,3.3,15.4
172,SHANE LARKIN,EFS,28,11,26:11,11.7,1.9,3.9,48.1%,2,5.2,39.3%,1.9,2.2,86.9%,0.4,2.2,2.6,4.5,1.2,1.8,0,0.3,0.9,3.9,15.5
173,SYLVAIN FRANCISCO,ZAL,34,18,25:29,14.6,2.1,4.3,47.9%,2.2,6.4,34.2%,3.8,5.1,75.6%,0.5,2.1,2.6,4.5,0.9,2.9,0.4,0.2,1.9,5.2,15.6
174,ROKAS JOKUBAITIS,MTA,28,24,24:27,12.6,4,6.6,60.2%,0.8,2.2,37.1%,2.1,2.5,85.7%,0.8,2.4,3.2,4.6,1,2.6,0,0.2,1.7,3.1,15.6
175,TYRIQUE JONES,PAR,32,10,22:38,11.6,4.3,6.9,63.2%,0,0,0%,2.9,4.4,66.4%,2.8,3.2,6,1,1.1,1.7,0.7,0.2,2.5,4,16
